startdate,enddate,total,dose_one,dose_two,dose_precaution,children,teens,adults,middle_aged,senior
2021-01-16,2021-01-22,1243013,1243013,0,0,0,0,847737,359993,35283
2021-01-23,2021-01-29,2053181,2053181,0,0,0,0,1436599,548709,67872
2021-01-30,2021-02-05,1959386,1959386,0,0,0,0,1385267,514676,59443
2021-02-06,2021-02-12,2656057,2656057,0,0,0,0,1831904,773719,50431
2021-02-13,2021-02-19,2353792,1635606,718186,0,0,0,1594961,712664,46165
2021-02-20,2021-02-26,3313933,1612831,1701102,0,0,0,2241980,993392,78561
2021-02-27,2021-03-05,4141646,3102888,1038758,0,0,0,1307312,928580,1905754
2021-03-06,2021-03-12,8643377,6939297,1704080,0,0,0,1848149,1841291,4953937
2021-03-13,2021-03-19,13443801,11499687,1944114,0,0,0,2042493,3075517,8325791
2021-03-20,2021-03-26,15235112,14065700,1169412,0,0,0,1644376,3971311,9619425
2021-03-27,2021-04-02,13611961,12686954,925007,0,0,0,1205012,6118439,6288510
2021-04-03,2021-04-09,24746875,22610262,2136613,0,0,0,785095,15292695,8669085
2021-04-10,2021-04-16,20793363,17718027,3075336,0,0,0,951895,12151616,7689797
2021-04-17,2021-04-23,17035426,11217226,5818200,0,0,0,1370486,8587319,7077553
2021-04-24,2021-04-30,15481515,9026096,6455419,0,0,0,1336710,7616122,6528527
2021-05-01,2021-05-07,12162520,5878417,6284103,0,0,0,2550917,5298971,4312556
2021-05-08,2021-05-14,12832591,6145801,6686790,0,0,0,3759110,5061968,4011509
2021-05-15,2021-05-21,9210807,7596547,1614260,0,0,0,4615156,3146558,1449076
2021-05-22,2021-05-28,14681226,13505852,1175374,0,0,0,7832817,4841067,2007340
2021-05-29,2021-06-04,17967046,16217166,1749880,0,0,0,9657736,5817325,2491823
2021-06-05,2021-06-11,21178174,19177847,2000327,0,0,0,13176673,5461616,2539576
2021-06-12,2021-06-18,22052173,19489495,2562678,0,0,0,14360214,4962116,2729429
2021-06-19,2021-06-25,41202974,36441378,4761596,0,0,0,28407554,8104928,4690156
